device_id,accuracy,f1
22,0.7224,0.8388
13,0.6644,0.7984
17,0.7479,0.8558
5,0.6529,0.7900
20,0.6474,0.7860
2,0.5946,0.7458
26,0.6653,0.7990
1,0.6696,0.8021
25,0.6250,0.7692
8,0.6272,0.7709
16,0.6450,0.7842
24,0.6655,0.7992
3,0.6358,0.7774
15,0.6577,0.7935
14,0.7303,0.8441
4,0.6069,0.7554
10,0.6072,0.7556
18,0.6123,0.7595
9,0.6787,0.8086
29,0.6503,0.7881
19,0.6961,0.8208
27,0.6602,0.7953
6,0.6254,0.7695
7,0.5928,0.7443
0,0.6449,0.7841
12,0.6125,0.7597
23,0.6443,0.7837
28,0.6752,0.8061
11,0.6354,0.7771
21,0.6927,0.8185
